shelter_function,key_words1,key_words2,key_words3,key_words4,key_words5,key_words6
advocacy,advocacy,,,,,
child_care,child care,childhood,,,,
HIV/AIDS,HIV ,AIDS,,,,
holiday_assistance,holiday,,,,,
interpreter,interpreter,translator,,,,
personal_goods,goods,thrift,clothing,cloth,,
non_profit_organization,non-profit,,,,,
substance_abuse,substance,drug,alcohol,,,
youth_services,youth,,,,,
counseling_services,counseling,information,counsel,,,
domestic_violence,domestic,child abuse,,,,
health_services,health,illness,mental,ill,medical,treatment
shelter,shelter,housing,motel,homeless support,,
food_supply,food,,,,,
recreational_services,recreation,,,,,
Welfare_to_work,welfare-to-work,employment, volunteer,runaway,,
Adults Education,Education,enrichment,,,,
financial_assistance,financial,utility bill ,,,,
transportation,transportation,,,,,
